tokenizer,perturbation,mean_num_toks,mean_tok_len,mean_char_dist,mean_tok_dist,mean_tok_jaccard
Alibaba-NLP/gte-large-en-v1.5,characters_random_delete,29.839666666666666,3.7272590176387137,9.922,5.667166666666667,0.5334121968677856
Alibaba-NLP/gte-large-en-v1.5,characters_random_insert,35.48683333333334,3.755594798070646,14.863166666666666,5.716833333333334,0.47074718253879344
Alibaba-NLP/gte-large-en-v1.5,characters_random_replace,33.61233333333333,3.696956474310025,13.392333333333333,5.667166666666667,0.4817003172982484
Alibaba-NLP/gte-large-en-v1.5,characters_shift_key_miss,36.74816666666667,3.322256439096735,16.482,5.564,0.44882167324465977
Alibaba-NLP/gte-large-en-v1.5,sentences_paraphrase,21.027843803056026,4.648553942545255,19.18539898132428,79.4672325976231,0.38506257411917555
Alibaba-NLP/gte-large-en-v1.5,words_clare,25.211166666666667,4.235008296588152,3.037166666666667,14.2725,0.8326837137603118
Alibaba-NLP/gte-large-en-v1.5,words_duplication,28.130333333333333,4.226368925596331,2.6235,12.953833333333334,1.0
Alibaba-NLP/gte-large-en-v1.5,words_joining,28.909,4.301688055622816,9.140333333333333,5.486833333333333,0.6077143779084748
Alibaba-NLP/gte-large-en-v1.5,words_lemmatization,25.459,4.070433507469526,3.0353333333333334,4.7595,0.8039670886545769
Alibaba-NLP/gte-large-en-v1.5,words_position_swap,25.511,4.222505324500542,3.7636666666666665,15.385333333333334,0.9995928420416437
Alibaba-NLP/gte-large-en-v1.5,words_stemming,29.741833333333332,3.5135359286302683,10.379,12.391833333333333,0.5835692333663896
answerdotai/ModernBERT-large,_none,25.953833333333332,4.74768659735556,0.0,0.0,1.0
answerdotai/ModernBERT-large,characters_capitalization,59.23983333333333,2.080050303990277,53.3075,49.56783333333333,0.0711912390982768
answerdotai/ModernBERT-large,characters_keyboard_insert,36.4675,3.5475240510957247,16.536833333333334,6.165,0.46387969781580085
answerdotai/ModernBERT-large,characters_keyboard_replace,33.508,3.674460825275556,12.800833333333333,5.6306666666666665,0.5016567540589291
answerdotai/ModernBERT-large,characters_neighbour_swap,32.43033333333333,3.799447019765446,11.143166666666668,8.965666666666667,0.5355279196998656
answerdotai/ModernBERT-large,characters_ocr_error,29.88233333333333,4.122636563409818,6.594,2.6398333333333333,0.6629288678658788
answerdotai/ModernBERT-large,characters_punctuation,31.800666666666668,4.065108697930861,8.944166666666666,8.781333333333333,0.766253104375759
answerdotai/ModernBERT-large,characters_random_delete,29.580666666666666,3.9739187757769714,9.229666666666667,5.667166666666667,0.5555601219973244
answerdotai/ModernBERT-large,characters_random_insert,35.608666666666664,3.620986463969446,14.432333333333334,5.716833333333334,0.4965913234690021
answerdotai/ModernBERT-large,characters_random_replace,34.12883333333333,3.6104857573996574,13.498166666666666,5.667166666666667,0.4901417826622299
answerdotai/ModernBERT-large,characters_shift_key_miss,35.792833333333334,3.440577024264634,15.091833333333334,5.564,0.47526390441117883
answerdotai/ModernBERT-large,sentences_paraphrase,21.117147707979626,5.194870557967519,20.043633276740238,79.4672325976231,0.32564521046759226
answerdotai/ModernBERT-large,words_clare,25.548333333333332,4.804142475047296,3.2925,14.2725,0.8161382415493008
answerdotai/ModernBERT-large,words_duplication,28.425,4.7779829961888005,3.150166666666667,12.953833333333334,0.9513990581850239
answerdotai/ModernBERT-large,words_joining,27.3695,4.301838421113526,7.799833333333333,5.486833333333333,0.6431739363508622
answerdotai/ModernBERT-large,words_lemmatization,25.762833333333333,4.6276224794115555,3.2575,4.7595,0.7965944391244416
answerdotai/ModernBERT-large,words_position_swap,25.861166666666666,4.80019591794647,5.487166666666667,15.385333333333334,0.8414366364106454
answerdotai/ModernBERT-large,words_stemming,27.898833333333332,3.997473012611041,8.471166666666667,12.391833333333333,0.6064123124322935
intfloat/multilingual-e5-large-instruct,_none,28.456833333333332,3.6487018349429836,0.0,0.0,1.0
intfloat/multilingual-e5-large-instruct,characters_capitalization,59.292833333333334,1.7511475529645235,53.0645,49.56783333333333,0.0794150062945538
intfloat/multilingual-e5-large-instruct,characters_keyboard_insert,38.11866666666667,2.8856072265556683,16.264833333333332,6.165,0.48557757204126056
intfloat/multilingual-e5-large-instruct,characters_keyboard_replace,35.11983333333333,2.9544037319843013,12.498166666666666,5.6306666666666665,0.5226392140139942
intfloat/multilingual-e5-large-instruct,characters_neighbour_swap,33.79416666666667,3.0724385372228933,10.619666666666667,8.965666666666667,0.560522425624568
intfloat/multilingual-e5-large-instruct,characters_ocr_error,32.0945,3.235149324650641,6.589166666666666,2.6398333333333333,0.6785214021025663
intfloat/multilingual-e5-large-instruct,characters_punctuation,34.916333333333334,3.152631528701945,9.28,8.781333333333333,0.7365135860719938
intfloat/multilingual-e5-large-instruct,characters_random_delete,31.109666666666666,3.1554018579434047,8.924166666666666,5.667166666666667,0.5792533246308418
intfloat/multilingual-e5-large-instruct,characters_random_insert,37.566833333333335,2.9160607095798157,14.404166666666667,5.716833333333334,0.5121168542291322
intfloat/multilingual-e5-large-instruct,characters_random_replace,35.838,2.897213386163662,13.293166666666666,5.667166666666667,0.5103546313134782
intfloat/multilingual-e5-large-instruct,characters_shift_key_miss,37.61216666666667,2.760556203001688,14.907166666666667,5.564,0.49687829517508625
intfloat/multilingual-e5-large-instruct,sentences_paraphrase,24.551782682512734,3.832086301085679,22.211035653650253,79.4672325976231,0.3519886964076483
intfloat/multilingual-e5-large-instruct,words_clare,28.027,3.681289470867378,3.736,14.2725,0.8223549040969143
intfloat/multilingual-e5-large-instruct,words_duplication,31.381666666666668,3.650570927824101,2.9248333333333334,12.953833333333334,1.0
intfloat/multilingual-e5-large-instruct,words_joining,30.004666666666665,3.4604783700313284,8.015666666666666,5.486833333333333,0.6666641443102739
